3433333413342233233333336546344626156666 3313 4 4 6 9
4444444444444444444444446666666656666666 3314 6 7 8 6
1444413414411111414444414662646365456631 2415 2 5 710
3332333433333314343434335556565656356665 3815 9 9 8 9
3444344324333434331333326554344446563445 3911 9 9 8 8
2332323323323311332311225553324444564544 4014 6 6 8 8
1142434443324441114444441616466616165665 3115 7 9 7 9
1411111113243234232123332164444666153446 3910 4 4 7 5
3343322333333333332223335566666656566666 3918 6 9 910
3333234444444444343334344636656646465666 3617 6 6 9 9
2333432333333334332233232666566626566566 3712 610 8 9
3444434444444444444444445565666666666666 401710101010
3343343433434444344444446665555656566666 4013 410 810
3332233333333322334444444355455555266666 3915 4 9 6 9
2222332233332233233333234554455456524555 3913 6 4 9 9
4444432342433334433233326665455436254556 3812 2 4 7 8
4444443333434344333443336666466646366666 3615 6 61010
4444443433334433343334336664654666266666 4016 3 3 7 6
3344324423334433333433335464542556166555 4015 6 9 910
3343433333334313334333436556564543366556 3116 6 9 6 9
4343333333333344333331336546364566363555 3915 4 6 8 7
3444443433443434343434345665666656556666 3914 4 6 6 9
1111111111112211441111111411331144611111 38 9 4 1 8 3
4244432232334343234332335665354656666666 3911 2 1 6 9
1222323243434433231223221433346556263345 3913 9 6 9 6
4233333333434344243333335465656636556666 371410 9 8 9
4444434222333332333222226663353436363415 3712 5 6 7 6
2232332242323322231233325564533566445555 2111 7 8 6 8
4444444444444444344443445666656666566566 40191010 810
3433332233222212223223323655244435334545 3512 3 2 5 8
4444442233324344243222325666436656364453 3916 9 8 8 8
2222322122314233233112112252222225651111 39 9 7 4 6 4
3332234423414444244413235455556666464665 401510 9 9 9
4444423233333433332322336665443536451555 3912 7 9 7 9
2243124144444421232312224645545344154146 3812 7 9 6 9
3244423431222233222322226264235535152522 3613 7 5 6 5
4344433433333333224334345466645546355565 2415 6 5 6 8
4444433232434344443323236263345552663235 3911 8 7 9 7
4444432224323333334224344666634356661142 2211 5 4 6 5
4344444444444444334444446666666666366666 38161010 8 9
3333333443324444133332232555445656562455 4016 7 8 9 7
